,movieId,title,genres,scores
2100,2948,from russia with love,Action Adventure Thriller,20.77882024236631
4917,8949,sideways,Comedy Drama Romance,20.76698493241218
5686,47610,"illusionist, the",Drama Fantasy Mystery Romance,20.736963229790252
3545,5299,my big fat greek wedding,Comedy Romance,20.67248528663599
4827,8641,anchorman: the legend of ron burgundy,Comedy,20.634280761530142
918,1263,"deer hunter, the",Drama War,20.613508351257153
1477,2087,peter pan,Animation Children Fantasy Musical,20.553787424187707
3854,5956,gangs of new york,Crime Drama,20.535784999976983
1407,2003,gremlins,Comedy Horror,20.51728642928802
4774,8464,super size me,Comedy Documentary Drama,20.508509299518295
1320,1907,mulan,Adventure Animation Children Comedy Drama Musical Romance,20.485654420017717
5505,40819,walk the line,Drama Musical Romance,20.457365474613823
2626,3717,gone in 60 seconds,Action Crime,20.41914667615196
5579,44199,inside man,Crime Drama Thriller,20.35771799496066
1847,2572,10 things i hate about you,Comedy Romance,20.32228414309421
1213,1690,alien: resurrection,Action Horror Sci-Fi,20.237470366321066
2383,3363,american graffiti,Comedy Drama,20.23638098314062
6662,79702,scott pilgrim vs. the world,Action Comedy Fantasy Musical Romance,20.16335626461562
6726,81845,"king's speech, the",Drama,20.150490263754342
1142,1597,conspiracy theory,Drama Mystery Romance Thriller,20.13549167401435
525,661,james and the giant peach,Adventure Animation Children Fantasy Musical,20.105573542931552
2442,3448,"good morning, vietnam",Comedy Drama War,20.10063370957728
2167,3039,trading places,Comedy,20.06956576111074
4792,8528,dodgeball: a true underdog story,Comedy,20.04972329647071
1528,2144,sixteen candles,Comedy Romance,19.93412576803335
6725,81834,harry potter and the deathly hallows: part 1,Action Adventure Fantasy IMAX,19.88450031619943
2612,3702,mad max,Action Adventure Sci-Fi,19.878211077940808
2830,4014,chocolat,Drama Romance,19.871810756646155
275,333,tommy boy,Comedy,19.780499464194342
1476,2085,101 dalmatians (one hundred and one dalmatians),Adventure Animation Children,19.694831314397792
2754,3916,remember the titans,Drama,19.688166345663703
2382,3362,dog day afternoon,Crime Drama,19.521215494708947
135,168,first knight,Action Drama Romance,19.512158737927024
1197,1673,boogie nights,Drama,19.494521761350185
7888,134130,the martian,Adventure Drama Sci-Fi,19.488174459048448
772,1060,swingers,Comedy Drama,19.388496408369413
6396,69844,harry potter and the half-blood prince,Adventure Fantasy Mystery Romance IMAX,19.32094405433252
5454,37729,corpse bride,Animation Comedy Fantasy Musical Romance,19.31302133913212
976,1333,"birds, the",Horror Thriller,19.15061731508019
5215,30707,million dollar baby,Drama,19.139528270246725
1852,2580,go,Comedy Crime,19.101107831174556
6379,69481,"hurt locker, the",Action Drama Thriller War,19.097188118168706
1229,1722,tomorrow never dies,Action Adventure Thriller,19.067630071837616
7581,112852,guardians of the galaxy,Action Adventure Sci-Fi,19.064621824254687
6259,64614,gran torino,Crime Drama,19.045119488839237
1582,2231,rounders,Drama,18.96290611780752
1987,2788,monty python's and now for something completely different,Comedy,18.9335202296625
1122,1569,my best friend's wedding,Comedy Romance,18.914190753158675
6587,76093,how to train your dragon,Adventure Animation Children Fantasy IMAX,18.88886036716586
3580,5377,about a boy,Comedy Drama Romance,18.882170753213465
4902,8917,team america: world police,Action Adventure Animation Comedy,18.864644313149693
4933,8972,national treasure,Action Adventure Drama Mystery Thriller,18.862670750877022
916,1261,evil dead ii (dead by dawn),Action Comedy Fantasy Horror,18.857816605015223
6122,59784,kung fu panda,Action Animation Children Comedy IMAX,18.852155908444253
1567,2193,willow,Action Adventure Fantasy,18.84201021923988
2289,3210,fast times at ridgemont high,Comedy Drama Romance,18.836358980329255
4097,6537,terminator 3: rise of the machines,Action Adventure Sci-Fi,18.822604088573254
4740,8361,"day after tomorrow, the",Action Adventure Drama Sci-Fi Thriller,18.79965959841856
3018,4321,city slickers,Comedy Western,18.786533109413398
3875,5995,"pianist, the",Drama War,18.743131503612638
139,172,johnny mnemonic,Action Sci-Fi Thriller,18.74260393403246
1422,2018,bambi,Animation Children Drama,18.72108710152922
1907,2671,notting hill,Comedy Romance,18.71874821213337
5827,51540,zodiac,Crime Drama Thriller,18.69319345812851
752,1032,alice in wonderland,Adventure Animation Children Fantasy Musical,18.678426671454098
3213,4643,planet of the apes,Action Adventure Drama Sci-Fi,18.595967700556013
5627,45447,"da vinci code, the",Drama Mystery Thriller,18.542058522376614
6606,77561,iron man 2,Action Adventure Sci-Fi Thriller IMAX,18.516558196617638
889,1233,"boot, das (boat, the)",Action Drama War,18.502982889082695
3946,6188,old school,Comedy,18.496758011725994
2076,2915,risky business,Comedy,18.431790542965153
651,902,breakfast at tiffany's,Drama Romance,18.332580577730646
2348,3301,"whole nine yards, the",Comedy Crime,18.307593976876838
5220,30810,"life aquatic with steve zissou, the",Adventure Comedy Fantasy,18.30720803256934
7491,109374,"grand budapest hotel, the",Comedy Drama,18.29771236941721
5866,52722,spider-man 3,Action Adventure Sci-Fi Thriller IMAX,18.27813738100545
1821,2539,analyze this,Comedy,18.247316444179255
4480,7254,the butterfly effect,Drama Sci-Fi Thriller,18.231844434979394
5332,33004,"hitchhiker's guide to the galaxy, the",Adventure Comedy Sci-Fi,18.216342565460238
5909,53996,transformers,Action Sci-Fi Thriller IMAX,18.21304011091565
7138,96079,skyfall,Action Adventure Thriller IMAX,18.141004106881148
5670,47099,"pursuit of happyness, the",Drama,18.132149663196692
3792,5810,8 mile,Drama,18.081784407080818
7438,106782,"wolf of wall street, the",Comedy Crime Drama,18.04885253744413
3521,5254,blade ii,Action Horror Thriller,18.047939024905777
2958,4223,enemy at the gates,Drama War,18.034323606222124
5577,44195,thank you for smoking,Comedy Drama,17.983589656386187
741,1020,cool runnings,Comedy,17.977920571659666
533,673,space jam,Adventure Animation Children Comedy Fantasy Sci-Fi,17.965669273007737
180,224,don juan demarco,Comedy Drama Romance,17.961420281441704
880,1223,"grand day out with wallace and gromit, a",Adventure Animation Children Comedy Sci-Fi,17.907505365788815
1427,2023,"godfather: part iii, the",Crime Drama Mystery Thriller,17.85318168755279
4184,6708,matchstick men,Comedy Crime Drama,17.79273992425296
28,29,"city of lost children, the (cité des enfants perdus, la)",Adventure Drama Fantasy Mystery Sci-Fi,17.7782498881246
1191,1663,stripes,Comedy War,17.76494432397019
953,1299,"killing fields, the",Drama War,17.691507892782006
4289,6936,elf,Children Comedy Fantasy,17.677615570554416
4495,7293,50 first dates,Comedy Romance,17.6459948199748
1008,1372,star trek vi: the undiscovered country,Action Mystery Sci-Fi,17.591650530409765
1622,2294,antz,Adventure Animation Children Comedy Fantasy,17.55558124846066
2654,3755,"perfect storm, the",Drama Thriller,17.50094590913494
6151,60684,watchmen,Action Drama Mystery Sci-Fi Thriller IMAX,17.473307602245566
4296,6947,master and commander: the far side of the world,Adventure Drama War,17.438187255284564
1735,2424,you've got mail,Comedy Romance,17.404031169613738
3443,5064,the count of monte cristo,Action Adventure Drama Thriller,17.38763771478103
5218,30793,charlie and the chocolate factory,Adventure Children Comedy Fantasy IMAX,17.36842695552668
6985,91500,the hunger games,Action Adventure Drama Sci-Fi Thriller,17.36592610343341
4932,8970,finding neverland,Drama,17.331398391242693
3745,5679,"ring, the",Horror Mystery Thriller,17.325684880695874
3722,5630,red dragon,Crime Mystery Thriller,17.319086490844718
503,616,"aristocats, the",Animation Children,17.316030287088786
137,170,hackers,Action Adventure Crime Thriller,17.311086105749204
2402,3396,"muppet movie, the",Adventure Children Comedy Musical,17.28185926076348
927,1272,patton,Drama War,17.22130849379781
344,420,beverly hills cop iii,Action Comedy Crime Thriller,17.19128072218317
2726,3868,"naked gun: from the files of police squad!, the",Action Comedy Crime Romance,17.189336172081234
7735,122882,mad max: fury road,Action Adventure Sci-Fi Thriller,17.046287013028227
1324,1912,out of sight,Comedy Crime Drama Romance Thriller,16.97763189895959
2832,4016,"emperor's new groove, the",Adventure Animation Children Comedy Fantasy,16.96644668133968
5961,55247,into the wild,Action Adventure Drama,16.946601538923616
441,529,searching for bobby fischer,Drama,16.909650020924992
2316,3256,patriot games,Action Crime Drama Thriller,16.89420963148166
5668,46976,stranger than fiction,Comedy Drama Fantasy Romance,16.881004528629592
2968,4235,amores perros (love's a bitch),Drama Thriller,16.87089408706817
1484,2094,"rocketeer, the",Action Adventure Sci-Fi,16.846781086516593
5630,45517,cars,Animation Children Comedy,16.807646150820617
5593,44665,lucky number slevin,Crime Drama Mystery,16.74392703209057
1927,2701,wild wild west,Action Comedy Sci-Fi Western,16.730648229502293
2307,3247,sister act,Comedy Crime,16.69823665426278
964,1320,alien³ (a.k.a. alien 3),Action Horror Sci-Fi Thriller,16.68848589736135
3341,4874,k-pax,Drama Fantasy Mystery Sci-Fi,16.66170353881393
1868,2605,entrapment,Crime Thriller,16.661081367555393
6,7,sabrina,Comedy Romance,16.638694156557946
3265,4734,jay and silent bob strike back,Adventure Comedy,16.59927470305548
231,282,nell,Drama,16.58817311915118
625,849,escape from l.a.,Action Adventure Sci-Fi Thriller,16.50310960119472
1781,2490,payback,Action Thriller,16.42495570491085
788,1088,dirty dancing,Drama Musical Romance,16.40777726288559
1005,1367,101 dalmatians,Adventure Children Comedy,16.400886824572073
2074,2908,boys don't cry,Drama,16.372479891596907
1962,2746,little shop of horrors,Comedy Horror Musical,16.369879564744558
707,969,"african queen, the",Adventure Comedy Romance War,16.348176171475835
2988,4270,"mummy returns, the",Action Adventure Comedy Thriller,16.348035557580936
3588,5388,insomnia,Action Crime Drama Mystery Thriller,16.322914618446543
6130,60040,"incredible hulk, the",Action Sci-Fi,16.31116780253329
4556,7445,man on fire,Action Crime Drama Mystery Thriller,16.27724300598232
147,180,mallrats,Comedy Romance,16.27447367169943
6860,87232,x-men: first class,Action Adventure Sci-Fi Thriller War,16.258409789604528
